06-08-2019 10:29:48.000 +	ZET7156_X (08)	ZET7156_Y (09)	ZET7156_Z (10)	
c	мм/с	мм/с	мм/с	
22,822	0,00274588	-0,0654901	-0,0999297
22,824	-0,0267455	0,00132732	-0,0700013
22,826	-0,0121827	0,0464196	-0,0358936
22,828	-0,0375388	0,00206528	-0,029267
22,83	-0,0621095	-0,0410193	-0,0266328
22,832	-0,0344524	-0,0323943	-0,0316874
22,834	-0,0339842	6,53397e-005	-0,0229048
22,836	-0,0639894	0,0254518	-0,0197376
22,838	-0,0322998	0,00891519	-0,0537655
22,84	0,00777897	-0,0101688	-0,0880032
22,842	-0,0154895	0,00054828	-0,046945
22,844	-0,0402349	0,00785969	0,0236404
22,846	-0,0475674	0,0111269	-0,00971255
22,848	-0,0598682	0,00560258	-0,0758318
22,85	-0,0258034	0,00670106	-0,0646043
22,852	-0,000585429	0,0265645	-0,0215843
22,854	-0,0336703	0,0572243	-0,0300917
22,856	-0,0248708	0,0492344	-0,0448119
22,858	0,0212236	-0,0211597	-0,048598
22,86	0,0110844	-0,0325837	-0,0531199
22,862	-0,0483204	0,0797821	-0,0363694
22,864	-0,0638618	0,117891	-0,0158665
22,866	0,00131889	0,00953104	-0,0430609
22,868	0,0317736	-0,0221942	-0,0720719
22,87	-0,000410698	0,0977503	-0,053662
22,872	0,0060486	0,0829455	-0,00684161
22,874	0,00565944	-0,0394539	-0,0264732
22,876	0,000347762	0,0116731	-0,0736239
22,878	0,0199621	0,127392	-0,0459064
22,88	0,00960346	0,088408	-0,00377166
22,882	-0,0214612	-0,0100074	-0,023095
22,884	0,0159748	0,0180366	-0,064518
22,886	0,0502212	0,0811519	-0,0391928
22,888	0,0130318	0,0880343	-0,00745645
22,89	-0,00203242	0,0379165	-0,0368919
22,892	0,0272496	-0,00443019	-0,069839
22,894	0,0389901	0,0574278	-0,0513109
22,896	0,00934354	0,098047	-0,0309459
22,898	-0,00998262	0,00500444	-0,0369593
22,9	0,0209334	-0,0255598	-0,0433627
22,902	0,0506428	0,0770295	-0,0613159
22,904	0,0289624	0,0959168	-0,0656729
22,906	0,0141816	-0,00793653	-0,0255598
22,908	0,0481007	-0,0294764	-0,0285228
22,91	0,067532	0,0531824	-0,0835742
22,912	0,00893857	0,080671	-0,0674608
22,914	-0,0221087	0,0150971	0,00541838
22,916	0,0543632	-0,028501	-0,0135175
22,918	0,0679568	0,0260841	-0,0771937
22,92	0,00091858	0,0670148	-0,0455393
22,922	0,0248926	-0,00528155	-0,0173568
22,924	0,0870167	-0,0749869	-0,0734691
22,926	0,0571745	0,00725077	-0,0549805
22,928	-0,00113733	0,111087	0,0195439
22,93	0,00297941	0,00537751	-0,0154286
22,932	0,0582516	-0,104647	-0,101401
22,934	0,0676653	0,00475981	-0,0673384
22,936	0,0179398	0,0948504	-0,000220155
22,938	0,0391997	-0,00935338	-0,0172274
22,94	0,0831455	-0,089553	-0,0830043
22,942	0,0611023	-0,0133838	-0,0863197
22,944	0,0165956	0,0458362	-0,0220791
22,946	-0,00304808	0,00725914	-0,00321403
22,948	0,0186198	-0,0370635	-0,0761987
22,95	0,0510186	-0,0314103	-0,0991165
22,952	0,0370088	0,0354539	-0,041982
22,954	0,0324631	0,0264531	-0,0200021
22,956	0,0526724	-0,0682699	-0,0710143
22,958	0,0310949	-0,0552569	-0,0758101
22,96	-0,0196576	0,0588187	-0,0531572
22,962	-0,0143489	0,0349352	-0,0558368
22,964	0,0172038	-0,059563	-0,051326
22,966	0,0299008	-0,0124288	-0,051907
22,968	0,026715	0,0366491	-0,0647459
22,97	0,0143127	-0,0115805	-0,0525916
22,972	0,000852751	-0,0430619	-0,0310866
22,974	0,0144515	0,0287984	-0,0614324
22,976	-0,012743	0,058882	-0,0801607
22,978	-0,0549472	0,0202411	-0,0315482
22,98	0,00570872	-0,022747	0,000673695
22,982	0,0389602	-0,00466796	-0,0372963
22,984	-0,0182696	0,0641039	-0,0778798
22,986	-0,02859	0,0545345	-0,0565932
22,988	0,0243551	-0,0123842	-0,0380328
22,99	-0,00258586	0,00827944	-0,0342616
22,992	-0,0574204	0,0875311	-0,0166158
22,994	-0,0127915	0,0635803	-0,0379262
22,996	0,0471435	-0,0263665	-0,0718829
22,998	0,00249171	0,0291987	-0,0483872
23	-0,0414552	0,141878	0,0106613
23,002	-0,0128605	0,0887154	-0,0245328
23,004	0,0166098	-0,0209305	-0,096025
23,006	0,00414125	0,0196171	-0,0659629
23,008	-0,0261699	0,0934419	0,0307421
23,01	-0,0342188	0,0725571	0,0130252
23,012	-0,00501531	0,0464936	-0,079612
23,014	0,00329307	0,0480697	-0,0691644
23,016	-0,0225972	0,0767305	0,000381449
23,018	-0,0393779	0,0850083	-0,0204659
23,02	-0,00626137	0,024078	-0,0494473
23,022	0,0109674	0,009638	-0,0368224
23,024	-0,0360548	0,0736679	-0,019922
23,026	-0,0488182	0,0995954	-0,0262209
23,028	0,00344981	0,0363962	-0,0311924
23,03	-0,0149657	0,00612791	-0,0674004
23,032	-0,042522	0,0557994	-0,0492022
23,034	-0,0262749	0,0485349	0,000153635
23,036	-0,016166	-0,00458124	-0,0231307
23,038	-0,0166826	0,0181415	-0,0627767
23,04	-0,0178208	0,0798829	-0,0413901
23,042	-0,0292684	0,0426154	-0,0210563
23,044	-0,035872	-0,00999842	-0,0534687
23,046	-0,0402074	0,0209708	-0,0540957
23,048	-0,0207132	0,0413837	-0,0122215
23,05	-0,00221956	-0,00473641	-0,025494
23,052	-0,0179563	-0,0253694	-0,066304
23,054	0,0010242	0,0199735	-0,056114
23,056	0,00886056	0,0168174	-0,0260733
23,058	-0,0294315	-0,0101133	-0,0284823
23,06	-0,0184488	0,0067881	-0,0484007
23,062	0,0028454	0,011043	-0,0550225
23,064	-0,015059	-0,00390066	-0,0332119
23,066	0,00325616	-0,0281868	-0,00548499
23,068	0,0420999	-0,0194771	-0,0372492
23,07	0,0245666	0,00988416	-0,0655564
23,072	-0,0247397	0,00232364	-0,0383869
23,074	-0,0153208	-0,0201549	-0,0258066
23,076	0,014715	-0,0164222	-0,0540234
23,078	0,013664	-0,00541841	-0,0345342
23,08	0,0140632	-0,0200146	-0,00141456
23,082	0,0169631	-0,0402412	-0,048941
23,084	0,0144871	-0,00602925	-0,0860114
23,086	0,0338413	0,0159751	-0,0413151
23,088	0,0249958	-0,0141825	-0,021929
23,09	-0,00630251	-0,0323194	-0,0532001
23,092	-0,0071395	-0,0171834	-0,0326899
23,094	0,0423816	-0,00130266	-0,0157113
23,096	0,0328217	-0,0177265	-0,0524848
23,098	-0,0236186	0,00357849	-0,0771333
23,1	0,014269	0,0127708	-0,0370706
23,102	0,0621441	-0,0277285	-0,0134316
23,104	-0,00340991	-0,0149002	-0,0475934
23,106	-0,0262391	0,0193164	-0,0446231
23,108	0,0582078	0,00453311	-0,0203204
23,11	0,0501748	-0,00695885	-0,0523968
23,112	-0,0444489	0,0378077	-0,0677836
23,114	-0,00797945	0,0620674	-0,0314253
23,116	0,0829309	-0,0178002	-0,0401669
23,118	0,0471009	-0,0464256	-0,0669896
23,12	-0,00895862	0,0428925	-0,0240403
23,122	0,0264745	0,086603	-0,0236026
23,124	0,0574869	0,0195541	-0,0953362
23,126	0,0186525	0,00181535	-0,0827539
23,128	0,00403056	0,0800891	-0,00194289
23,13	0,0348518	0,0717229	-0,0113859
23,132	0,0327211	0,0155742	-0,0948638
23,134	0,0257816	0,00543981	-0,0732071
23,136	0,0410975	0,0541165	0,00166355
23,138	0,0400461	0,116722	-0,032085
23,14	0,0138828	0,0774594	-0,0908383
23,142	0,0108858	0,00170531	-0,0658088
23,144	0,0151568	-0,00294277	-0,0102579
23,146	0,0244408	0,0983472	-0,0176974
23,148	0,027478	0,108582	-0,0409131
23,15	0,00386091	-0,00585392	-0,038297
23,152	0,034931	0,0174903	-0,0457789
23,154	0,0545367	0,11005	-0,052529
23,156	-0,0128717	0,101337	-0,0264813
23,158	-0,0369068	0,00654259	0,00761947
23,16	0,0214361	-0,0121085	-0,0315824
23,162	0,0258023	0,0663891	-0,0666779
23,164	-0,0356195	0,0884128	-0,0022757
23,166	-0,0106533	0,0323453	0,00482225
23,168	0,0657617	-0,0148329	-0,0788774
23,17	0,0133774	0,0418656	-0,100954
23,172	-0,0695403	0,09203	-0,000826843
23,174	-0,0276499	0,0108147	0,0179638
23,176	0,0281955	-0,0459808	-0,0592406
23,178	-0,00288799	0,0311596	-0,0643258
23,18	-0,01587	0,0924981	-0,0282189
23,182	0,016275	-0,000122193	-0,0532865
23,184	0,0062096	-0,0571123	-0,0764284
23,186	-0,0187594	0,0423556	-0,030184
23,188	-0,0114517	0,0663487	-0,00541954
23,19	-0,0126726	-0,0302315	-0,0435453
23,192	-0,0299027	-0,0705675	-0,0667261
23,194	-0,00321812	0,0146642	-0,0401108
23,196	0,0104979	0,0741788	-0,0244066
23,198	-0,0265563	0,00160699	-0,0572849
23,2	-0,0172238	-0,0856777	-0,0667774
23,202	0,0112636	-0,036848	-0,0329359
23,204	-0,020651	0,0503889	-0,0170116
23,206	-0,0313277	-0,00763978	-0,0177442
23,208	-0,00218006	-0,0810309	-0,0570831
23,21	-0,00396004	-0,00490785	-0,0909676
23,212	-0,0254346	0,0544272	-0,0511127
23,214	-0,0134559	-0,0224797	0,00699122
23,216	0,00270359	-0,0877025	-0,0323654
23,218	-0,0010429	-0,0260065	-0,0867756
23,22	-0,0184552	0,0314414	-0,0466106
23,222	-0,0396354	-0,0163471	-0,00868443
23,224	-0,0287985	-0,0476986	-0,0478231
23,226	0,0015	0,0219936	-0,0792417
23,228	-0,0101971	0,01773	-0,0574723
23,23	-0,0319137	-0,0671992	-0,0112333
23,232	-0,00463746	-0,0364432	-0,0198433
23,234	0,0161793	0,0334449	-0,0518935
23,236	-0,0135045	0,0320094	-0,0660293
23,238	-0,0456153	-0,00976149	-0,048956
23,24	-0,00460862	-0,0156833	-0,0281379
23,242	0,0326383	0,0137002	-0,0253801
23,244	-0,0243006	0,0311042	-0,0276157
23,246	-0,0241354	0,00977974	-0,0345838
23,248	0,0463167	-0,00783302	-0,0452965
23,25	0,00891115	0,035058	-0,0445097
23,252	-0,0419675	0,0798931	-0,018098
23,254	0,00548505	0,0221563	-0,0225288
23,256	0,0351291	-0,0176694	-0,0554208
23,258	0,00537951	0,0475957	-0,0369643
23,26	-0,022338	0,0807835	0,00885115
23,262	0,00901405	0,0438212	-0,0241225
23,264	0,0579202	0,0232778	-0,0772172
23,266	0,0251932	0,0631531	-0,0554734
23,268	-0,00656086	0,0824768	0,00138691
23,27	0,0190096	0,0470836	-0,0204078
23,272	0,035062	0,0191412	-0,0704839
23,274	0,0191646	0,0664304	-0,0322075
23,276	0,00172204	0,0995355	0,00580893
23,278	0,00862755	0,0648184	-0,0487739
23,28	0,0518251	0,0276682	-0,0882609
23,282	0,0495298	0,04761	-0,0267143
23,284	0,00743223	0,0870815	0,0138738
23,286	-0,01223	0,0689538	-0,0408873
23,288	0,0187852	0,0302505	-0,0664074
23,29	0,0370599	0,0459428	-0,0202276
23,292	0,00852614	0,0797534	-0,00861135
23,294	0,0092971	0,0680069	-0,0389415
23,296	0,0411758	0,0306641	-0,0463923
23,298	0,0447459	0,0297897	-0,0441009
23,3	0,0274798	0,041265	-0,0129286
23,302	0,0101075	0,0623938	-0,00975566
23,304	0,00472944	0,0506661	-0,0480439
23,306	0,0209811	0,016963	-0,0560763
23,308	0,0278233	0,0267248	-0,0184957
23,31	0,0208368	0,0533206	-0,0159202
23,312	0,0405112	0,0330849	-0,0523344
23,314	0,0462999	-0,0113937	-0,0454769
23,316	0,0113486	0,0128888	-0,0344861
23,318	0,00180328	0,0287421	-0,0295246
23,32	0,031896	0,0405347	-0,031043
23,322	0,0297677	0,0199575	-0,0605326
23,324	0,00714947	-0,0310397	-0,0570225
23,326	0,0326269	0,00715354	-0,0197417
23,328	0,0537209	0,0382465	-0,021849
23,33	0,0371295	-0,0244057	-0,0572454
23,332	0,00994045	-0,0305126	-0,0530383
23,334	0,00183138	0,0294175	-0,0517178
23,336	0,0344949	0,0127608	-0,0502765
23,338	0,0213628	-0,0432487	-0,0129554
23,34	-0,0171499	-0,0189949	-0,0264856
23,342	0,0294701	-0,00673859	-0,0529596
23,344	0,0406894	-0,017161	-0,0462079
23,346	-0,0185957	-0,0109786	-0,0413525
23,348	-0,00424828	-0,0207793	-0,0485232
23,35	0,0277559	-0,0146744	-0,033172
23,352	0,00128319	-0,0190506	-0,016378
23,354	-0,0118073	-0,0323558	-0,0365357
23,356	-0,0118652	-0,013761	-0,0443959
23,358	0,00954821	0,0208375	-0,0490954
23,36	0,0318983	-0,022601	-0,0465022
23,362	-0,0215374	-0,0244778	-0,0478768
23,364	-0,033999	0,0081612	-0,0359626
23,366	0,0256243	-0,0143688	-0,0462592
23,368	0,014235	-0,0337154	-0,0686674
23,37	-0,0438168	0,00584998	-0,0311528
23,372	-0,0177589	0,0412929	-0,0325671
23,374	0,00742966	0,00203663	-0,0685824
23,376	-0,0120952	-0,0103921	-0,0731771
23,378	-0,00931499	0,00245743	-0,0130968
23,38	-0,00250736	0,0400268	-0,0364902
23,382	-0,00102805	0,0138934	-0,0662212
23,384	-0,0169305	-0,00462402	-0,021815
23,386	-0,0105958	0,0551036	-0,0175315
23,388	-0,00863075	0,0671978	-0,0537811
23,39	-0,00875087	0,02339	-0,0453919
23,392	-0,0239276	0,00245974	-0,0138822
23,394	-0,00153096	0,038011	-0,0275785
23,396	0,00909938	0,0683854	-0,0311358
23,398	-0,0156411	0,0540367	-0,0203547
23,4	-0,0128693	0,0215353	-0,0300071
23,402	-0,0116364	0,045053	-0,0403417
23,404	-0,0288862	0,100349	-0,0215157
23,406	-0,0161634	0,0692359	-0,017269
23,408	0,00373824	0,00383604	-0,0460082
23,41	-0,013087	0,0515139	-0,04864
23,412	0,0067285	0,0981163	0,00016728
23,414	-0,00604316	0,0525915	-0,0136133
23,416	-0,0323409	0,0373708	-0,0670248
23,418	-0,00467616	0,0833956	-0,073707
23,42	0,0112866	0,0712689	-0,0261046
23,422	-0,0360902	0,039985	-0,00403104
23,424	-0,0275824	0,0549205	-0,0287523
23,426	0,0274901	0,052056	-0,0581804
23,428	0,00583961	0,0454823	-0,0727888
23,43	-0,0404634	0,0489652	-0,0346839
23,432	-0,0158713	0,04479	-0,0153607
23,434	0,0172283	0,035456	-0,0322788
23,436	-0,022097	0,0433004	-0,0558806
23,438	-0,0126431	0,0442573	-0,0260346
23,44	0,0196832	0,00453122	-0,0152049
23,442	0,00379808	0,0215093	-0,059402
23,444	-0,0140671	0,0686155	-0,0514293
23,446	-0,0122218	0,0344213	-0,00988269
23,448	0,00653504	-0,0354718	-0,0232417
23,45	0,0224873	-0,00521262	-0,0548623
23,452	0,00777672	0,0575776	-0,0464748
23,454	-0,00141966	-0,00605444	-0,014478
23,456	0,0192639	-0,0339299	-0,0414261
23,458	0,0132815	0,0207072	-0,0675537
23,46	0,00260132	0,0299216	-0,045333
23,462	0,0141971	-0,0301422	-0,032881
23,464	0,0193471	-0,0549077	-0,0453635
23,466	0,0323501	-0,00674219	-0,0434949
23,468	0,022395	0,0206985	-0,0325319
23,47	0,00186297	-0,0105526	-0,0632724
23,472	0,0389075	-0,0624475	-0,0632375
23,474	0,0449165	-0,0289568	-0,0433714
23,476	-0,0138419	0,0151221	-0,0238634
23,478	0,0020622	-0,0241525	-0,034903
23,48	0,0627692	-0,0812003	-0,0517506
23,482	0,0368144	-0,0320333	-0,0538563
23,484	0,00662865	0,0382409	-0,0294716
23,486	0,0119097	-0,00140031	-0,0409696
23,488	0,0247221	-0,0900227	-0,0641962
23,49	0,0292369	-0,0596113	-0,038307
23,492	0,0330921	0,0250209	-0,0104952
23,494	0,0118117	0,0017582	-0,0307108
23,496	0,0150305	-0,0473879	-0,0748324
23,498	0,0401549	-0,0316267	-0,0646943
23,5	0,0358095	0,0177949	-0,0239826
23,502	0,000182217	0,0105609	-0,0126164
23,504	0,0117099	-0,0223777	-0,0503437
23,506	0,0589896	-0,0310409	-0,0677136
23,508	0,0332206	0,0109412	-0,0357502
23,51	0,00466598	0,041304	-0,00492847
23,512	0,0255398	0,026317	-0,0396393
23,514	0,0360189	0,00176973	-0,08155
23,516	0,0103241	0,0112608	-0,0401425
23,518	0,0187503	0,042531	-0,00346975
23,52	0,0304584	0,0251727	-0,0199118
23,522	0,0361447	0,0192342	-0,0421538
23,524	0,0319764	0,0395735	-0,0372037
23,526	0,0108101	0,056111	-0,0400751
23,528	0,0211197	0,0757987	-0,0362852
23,53	0,0219314	0,0472886	-0,0114016
23,532	0,0144248	0,0311864	-0,0120167
23,534	0,0183175	0,0519966	-0,0268418
23,536	0,0182548	0,0781592	-0,0231738
23,538	0,0274023	0,0641049	-0,0259585
23,54	0,029814	0,0445275	-0,0322905
23,542	8,09068e-005	0,0784232	-0,0354273
23,544	-0,00356323	0,0906605	-0,0225398
23,546	0,0180376	0,0477776	-0,0169745
23,548	-0,000765802	0,0337038	-0,0102126
23,55	-0,00248505	0,0815175	-0,0222998
23,552	0,0245766	0,0907905	-0,0478852
23,554	0,0176029	0,0647423	-0,0444271
23,556	-0,026735	0,0547002	-0,0351524
23,558	-0,00514523	0,0624156	-0,013672
23,56	0,0223036	0,0632834	-0,0211931
23,562	-0,0164221	0,0449478	-0,0335005
23,564	-0,0296753	0,0341429	-0,033009
23,566	0,00695011	0,0579302	-0,0205939
23,568	0,00930685	0,0792205	-0,0399553
23,57	-0,00967913	0,050135	-0,0384763
23,572	-0,0205798	0,0162887	-0,0224738
23,574	-0,013065	0,0251195	-0,0238956
23,576	-0,00918622	0,043715	-0,0265237
23,578	-0,015796	0,0335609	-0,00608595
23,58	-0,0127265	0,022696	-0,0181668
23,582	-0,003391	0,0271811	-0,0586158
23,584	-0,0130459	0,0257621	-0,0559816
23,586	-0,0148085	0,00900123	-0,00152294
23,588	-0,0127656	-0,0124718	-0,00297805
23,59	-0,0025419	0,00861736	-0,0410523
23,592	-0,00898687	0,0182268	-0,045385
23,594	-0,0229254	-0,00040802	-0,0264978
23,596	-0,00414153	-0,00453351	-0,0300775
23,598	0,00210018	0,0125809	-0,0467643
23,6	-0,00752183	0,00449454	-0,0483764
23,602	-0,0183657	-0,0361494	-0,0285231
23,604	-0,0154369	-0,0272109	-0,0276625
23,606	-0,0020443	0,000124522	-0,0412724
23,608	0,00482322	0,012262	-0,044461
23,61	-0,0116092	-0,011506	-0,0565746
23,612	-0,00857941	-0,0324944	-0,0621635
23,614	-0,00597419	-0,0165003	-0,0454999
23,616	-0,0175553	0,00879009	-0,0251088
23,618	-0,00874666	-0,0177327	-0,0383738
23,62	0,00409064	-0,0411398	-0,0548143
23,622	-0,00126848	-0,00446189	-0,0562083
23,624	-0,0100321	0,015452	-0,0548415
23,626	-0,00779692	-0,00744752	-0,0467645
23,628	-0,00216831	-0,0221327	-0,0285486
23,63	0,00198356	-0,0073734	-0,0293178
23,632	-0,00757223	0,014062	-0,054061
23,634	-0,0137172	0,00641253	-0,0505201
23,636	0,0119853	-0,015764	-0,0204995
23,638	0,0210365	0,0180214	-0,0276911
23,64	-0,00704651	0,0526075	-0,0461668
23,642	-0,00970647	0,0217456	-0,0443732
23,644	0,0241887	-0,0125878	-0,0464651
23,646	0,0161705	0,0130833	-0,0393587
23,648	0,00280787	0,0570779	0,0106839
23,65	0,013222	0,0559726	-0,0139034
23,652	0,0218532	0,0219517	-0,11002
23,654	0,0289088	0,0198307	-0,0719362
23,656	0,0315345	0,0658286	0,0338488
23,658	0,0237757	0,0714813	0,00334934
23,66	0,0159593	0,0375608	-0,0775123
23,662	0,0216957	0,0520132	-0,0690003
23,664	0,0398194	0,049476	-0,0178549
23,666	0,038373	0,06515	-0,00767718
23,668	0,0105311	0,103568	-0,0330626
23,67	0,0339076	0,0561904	-0,0501792
23,672	0,0595174	0,00582437	-0,0600517
23,674	0,012444	0,0544114	-0,0287776
23,676	0,0152978	0,119026	0,00877573
23,678	0,0547083	0,0763614	-0,0261484
23,68	0,0137611	0,0239255	-0,0937902
23,682	0,0187219	0,0436566	-0,0516456
23,684	0,0592194	0,0841577	0,0111126
23,686	0,029965	0,0678955	-0,0185491
23,688	0,0150236	0,0369225	-0,0553148
23,69	0,0351535	0,0336453	-0,0469573
23,692	0,0247412	0,0585693	-0,0467954
23,694	0,0215299	0,0707497	-0,0384028
23,696	0,0178784	0,0459254	-0,0175587
23,698	0,0339672	0,0072362	-0,0357911
23,7	0,0410422	0,0100103	-0,0504597
23,702	0,00865594	0,0732229	-0,0476239
23,704	0,0114904	0,0392583	-0,0266979
23,706	0,0415937	-0,0183782	-0,0347538
23,708	0,0393577	0,0195591	-0,0445164
23,71	0,0125441	0,0614148	-0,0395005
23,712	0,00989534	-0,000948898	-0,0280403
23,714	0,0210904	-0,0397667	-0,0312964
23,716	0,0557027	0,0188265	-0,0412413
23,718	0,031228	0,0342729	-0,0270922
23,72	-0,0138477	0,00131797	-0,0213303
23,722	0,0183688	-0,0232547	-0,0562845
23,724	0,0637943	-0,0351185	-0,0630007
23,726	0,0206571	-0,00258444	-0,00165851
23,728	-0,0104884	0,0293832	0,0122553
23,73	0,0227099	-0,0248374	-0,0628027
23,732	0,0251611	-0,063151	-0,0879384
23,734	0,0175427	-0,000393411	-0,018199
23,736	0,0267539	0,0220585	0,000984946
23,738	0,017328	-0,0285425	-0,0553762
23,74	-0,00792505	-0,0539437	-0,0674603
23,742	0,0130418	-0,0297718	-0,0327662
23,744	0,0242113	-0,00305804	-0,0366549
23,746	-0,0127781	-0,0133315	-0,031659
23,748	-0,00565899	-0,0270623	-0,024561
23,75	0,0240939	-0,0265479	-0,07254
23,752	-0,00863442	-0,0198794	-0,077099
23,754	-0,0211359	-0,00663361	-0,00522533
23,756	0,013885	-0,0155443	-0,000707223
23,758	-0,0139248	-0,0425242	-0,060936
23,76	-0,0440096	0,0016154	-0,0421806
23,762	-0,0122464	0,0224922	-0,0259411
23,764	0,0165843	-0,0351249	-0,0466073
23,766	-0,00816266	-0,0195508	-0,0350482
23,768	-0,0247555	0,0427675	-0,000828804
23,77	-0,00930113	0,00772217	-0,0328978
23,772	-0,0246375	-0,0244282	-0,0606208
23,774	-0,0364195	0,0298921	-0,0291208
23,776	0,00969466	0,0361318	-0,000595003
23,778	0,014191	0,0194301	-0,0320961
23,78	-0,030129	0,0422018	-0,0651452
23,782	-0,00921516	0,0235305	-0,0492189
23,784	0,0149549	-0,0040794	-0,0134428
23,786	-0,0260126	0,0708132	-0,00980433
23,788	-0,02358	0,093197	-0,0353211
23,79	0,0145429	0,0114029	-0,047406
23,792	0,005671	0,0249287	-0,0595358
23,794	0,00138364	0,0841602	-0,0285174
23,796	0,016667	0,0800685	0,0141855
23,798	-0,0123945	0,0525255	-0,0155327
23,8	-0,0224628	0,0580426	-0,0834505
23,802	0,0134987	0,0649797	-0,0512404
23,804	0,00756846	0,0636602	0,0228821
23,806	0,00516834	0,0656945	0,0154047
23,808	0,0124647	0,0732588	-0,0561685
23,81	-0,00196993	0,0770868	-0,0731667
23,812	-0,00725179	0,0585453	-0,0213662
23,814	0,0068853	0,0655043	0,00713419
23,816	0,00492863	0,0843235	-0,0213498
23,818	0,00231766	0,0640689	-0,0358137
23,82	-0,00209554	0,0459693	-0,0386157
23,822	0,0128795	0,0472587	-0,0374326
23,824	0,0214889	0,0758622	-0,0331313
23,826	-0,00442405	0,102729	-0,0420959
23,828	0,00198818	0,0477739	-0,0405687
23,83	0,0223534	-0,00798278	-0,0217678
23,832	-0,00426231	0,0543845	-0,0280611
23,834	0,00854033	0,101114	-0,0491799
23,836	0,0539193	0,0289884	-0,0502371
23,838	0,0166017	0,00323166	-0,0475102
23,84	-0,0138675	0,0651719	-0,029631
23,842	0,0231228	0,0672593	-0,0140239
23,844	0,0368956	0,00915044	-0,0423926
23,846	0,0246167	-0,0188916	-0,061315
23,848	0,0356093	0,0244393	-0,0310712
23,85	0,0293807	0,066613	-0,0125864
23,852	0,0138966	0,0269761	-0,0432416
23,854	0,0408702	-0,0270967	-0,0516941
23,856	0,054696	-0,00311345	-0,0345428
23,858	0,0359741	0,0478727	-0,0296759
23,86	0,0203321	0,0122687	-0,0413901
23,862	0,0306546	-0,0396711	-0,0487442
23,864	0,0688221	-0,0127879	-0,0372951
23,866	0,0632834	0,0319605	-0,0313431
23,868	0,00768814	0,0206929	-0,057605
23,87	0,0162228	-0,0407614	-0,0647918
23,872	0,0736049	-0,0459393	-0,0458404
23,874	0,0594792	0,0040337	-0,0331324
23,876	0,0168978	0,0203262	-0,027676
23,878	0,0300845	-0,0117287	-0,0512908
23,88	0,0532695	-0,0452673	-0,0786407
23,882	0,0396427	-0,0167813	-0,0606376
23,884	0,016661	0,0223451	-0,0056176
23,886	0,0293667	0,00589452	-0,0233263
23,888	0,0564189	-0,0528912	-0,0781424
23,89	0,0298218	-0,0361394	-0,0591519
23,892	0,00579473	0,0251604	0,000168962
23,894	0,0352102	0,0161317	-0,016215
23,896	0,0453622	-0,0144986	-0,0839368
23,898	0,0122433	-0,0168324	-0,0555091
23,9	0,0144164	-0,000320731	0,00382297
23,902	0,0391599	0,0156592	-0,0116741
23,904	0,0272567	0,0218423	-0,0497401
23,906	0,00933668	0,00425508	-0,0424764
23,908	0,0308585	0,0106448	-0,0369101
23,91	0,0362606	0,0413149	-0,0447821
23,912	0,00494921	0,0324655	-0,011678
23,914	0,0142878	0,0135511	-0,00422595
23,916	0,0358048	0,0263356	-0,0547845
23,918	0,023262	0,0502041	-0,0725259
23,92	0,0120533	0,0511376	-0,0176715
23,922	0,0161597	0,0492475	-0,00460462
23,924	0,0206785	0,0568001	-0,049943
23,926	0,0208176	0,0545876	-0,0558434
23,928	0,013167	0,0401589	-0,024427
23,93	0,00418834	0,0509322	-0,0303412
23,932	0,00177521	0,0745587	-0,0466501
23,934	0,00609221	0,0714176	-0,0219324
23,936	0,0189705	0,0552822	-0,0138994
23,938	0,00296652	0,0712421	-0,0575661
23,94	-0,0172426	0,0725918	-0,0534314
23,942	-0,00824813	0,0376853	0,00428865
23,944	0,00453677	0,0577685	-0,00251079
23,946	-0,0248071	0,101473	-0,0601673
23,948	-0,0363113	0,0787445	-0,0395061
23,95	0,00531153	0,0313974	-0,00305017
23,952	0,0053799	0,035353	-0,0317375
23,954	-0,0423155	0,0852893	-0,0391917
23,956	-0,0442599	0,0856925	-0,0165702
23,958	-0,0113636	0,0100409	-0,0295585
23,96	-0,0135783	0,0170981	-0,0446995
